Item Name,Global Category,Major Category,Minor Category,Item Quantity,Item/Cover %,Average Item Price,Gross Sales,Net Sales
brute squad barleywine 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.07,20.00,20.00,20.00
blood orange w/ hibiscus,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.07,17.00,17.00,17.00
socially acceptable,BEVERAGE,ALCOHOL,4OZ DRAUGHT,1.00,0.07,4.00,4.00,4.00
movie quotes hoppy lager 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,1.00,0.07,4.00,4.00,4.00
kitty paws sour ipa 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,1.00,0.07,4.00,4.00,4.00
it all happened so fast 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,1.00,0.07,4.00,4.00,4.00
pretzels: brown sugar cinnamon,FOOD,FOOD,FOOD,1.00,0.07,7.00,7.00,7.00
two ton booing,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,1.00,0.07,10.00,10.00,10.00
blood orange blond,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,1.00,0.07,10.00,10.00,9.00
barrel-aged chocolate vanilla porter,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,1.00,0.07,12.00,12.00,11.00
womens black v-neck,RETAIL,RETAIL,CLOTHING,1.00,0.07,15.00,15.00,15.00
two ton trucker hat,RETAIL,RETAIL,CLOTHING,1.00,0.07,22.00,22.00,22.00
retro black hoodie,RETAIL,RETAIL,CLOTHING,1.00,0.07,30.00,30.00,30.00
sixtel keg,BEVERAGE,ALCOHOL,KEGS,1.00,0.07,110.00,110.00,110.00
